"idCountry","name","lastUpdate"
1,"Afghanistan","2010-01-02 00:00:00.0000000"
2,"Albania","2010-01-03 00:00:00.0000000"
3,"Algeria","2010-01-04 00:00:00.0000000"
4,"American Samoa","2010-01-05 00:00:00.0000000"
5,"Andorra","2010-01-06 00:00:00.0000000"
6,"Angola","2010-01-07 00:00:00.0000000"
7,"Anguilla","2010-01-08 00:00:00.0000000"
8,"Antigua And Barbuda","2010-01-09 00:00:00.0000000"
9,"Argentina","2010-01-10 00:00:00.0000000"
10,"Armenia","2010-01-11 00:00:00.0000000"
11,"Aruba","2010-01-12 00:00:00.0000000"
12,"Australia","2010-01-13 00:00:00.0000000"
13,"Austria","2010-01-14 00:00:00.0000000"
14,"Azerbaijan","2010-01-15 00:00:00.0000000"
15,"Bahamas, The","2010-01-16 00:00:00.0000000"
16,"Bahrain","2010-01-17 00:00:00.0000000"
17,"Bangladesh","2010-01-18 00:00:00.0000000"
18,"Barbados","2010-01-19 00:00:00.0000000"
19,"Belarus","2010-01-20 00:00:00.0000000"
20,"Belgium","2010-01-21 00:00:00.0000000"
21,"Belize","2010-01-22 00:00:00.0000000"
22,"Benin","2010-01-23 00:00:00.0000000"
23,"Bermuda","2010-01-24 00:00:00.0000000"
24,"Bhutan","2010-01-25 00:00:00.0000000"
25,"Bolivia","2010-01-26 00:00:00.0000000"
26,"Bosnia And Herzegovina","2010-01-27 00:00:00.0000000"
27,"Botswana","2010-01-28 00:00:00.0000000"
28,"Brazil","2010-01-29 00:00:00.0000000"
29,"Brunei","2010-01-30 00:00:00.0000000"
30,"Bulgaria","2010-01-31 00:00:00.0000000"
31,"Burkina Faso","2010-02-01 00:00:00.0000000"
32,"Burundi","2010-02-02 00:00:00.0000000"
33,"Cabo Verde","2010-02-03 00:00:00.0000000"
34,"Cambodia","2010-02-04 00:00:00.0000000"
35,"Cameroon","2010-02-05 00:00:00.0000000"
36,"Canada","2010-02-06 00:00:00.0000000"
37,"Cayman Islands","2010-02-07 00:00:00.0000000"
38,"Central African Republic","2010-02-08 00:00:00.0000000"
39,"Chad","2010-02-09 00:00:00.0000000"
40,"Chile","2010-02-10 00:00:00.0000000"
41,"China","2010-02-11 00:00:00.0000000"
42,"Christmas Island","2010-02-12 00:00:00.0000000"
43,"Colombia","2010-02-13 00:00:00.0000000"
44,"Comoros","2010-02-14 00:00:00.0000000"
45,"Congo (Brazzaville)","2010-02-15 00:00:00.0000000"
46,"Congo (Kinshasa)","2010-02-16 00:00:00.0000000"
47,"Cook Islands","2010-02-17 00:00:00.0000000"
48,"Costa Rica","2010-02-18 00:00:00.0000000"
49,"Côte D’Ivoire","2010-02-19 00:00:00.0000000"
50,"Croatia","2010-02-20 00:00:00.0000000"
51,"Cuba","2010-02-21 00:00:00.0000000"
52,"Curaçao","2010-02-22 00:00:00.0000000"
53,"Cyprus","2010-02-23 00:00:00.0000000"
54,"Czechia","2010-02-24 00:00:00.0000000"
55,"Denmark","2010-02-25 00:00:00.0000000"
56,"Djibouti","2010-02-26 00:00:00.0000000"
57,"Dominica","2010-02-27 00:00:00.0000000"
58,"Dominican Republic","2010-02-28 00:00:00.0000000"
59,"Ecuador","2010-03-01 00:00:00.0000000"
60,"Egypt","2010-03-02 00:00:00.0000000"
61,"El Salvador","2010-03-03 00:00:00.0000000"
62,"Equatorial Guinea","2010-03-04 00:00:00.0000000"
